"Var1","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"2005",120,23,7,0,0,1,0,3,0,0,9,0,2,2,2
"2006",23,2,0,0,0,0,0,4,0,0,2,0,2,0,0
"2007",17,3,0,0,0,24,1,0,0,0,17,0,0,0,0
"2008",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010",1,0,0,0,0,1,0,0,0,0,2,0,0,0,0
"2011",0,0,25,0,0,6,1,0,0,0,0,0,0,0,0
"2015",32,0,2,25,0,0,1,0,0,0,3,0,0,0,0
"2016",2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"2017",6,0,0,4,0,0,1,4,0,0,2,0,0,0,0
"2018",6,4,0,4,0,0,0,1,0,0,1,0,0,0,0
"2019",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Control",3851,746,1067,1312,5,52,32,781,30,1,293,72,1225,379,44
"Tratado antes de 2005",896,125,203,165,6,39,15,111,1,0,307,17,142,25,23
