"","x"
"1","ID_hex"
"2","GRID_ID"
"3","year"
"4","ID_Localid"
"5","ID_UPZ"
"6","ID_Barrio"
"7","ID_Barr2"
"8","Nombre_Loc"
"9","Nombre_UPZ"
"10","Nombre_Bar"
"11","T1_LG00_was_treated"
"12","T1_LG01_legalization_year"
"13","T1_LG02_pre_legalization_year"
"14","T1_LG03_general_group"
"15","T1_LG04_neighborhood_order"
"16","T1_LG05_legalization_type"
"17","T1_LG06_legalization_act"
"18","T1_LG07_legalization_own_code"
"19","T1_LG08_distance_towards_treated"
"20","T2_MIB00_was_treated"
"21","T2_MIB01_MIB_year"
"22","T2_MIB02_pre_MIB_year"
"23","T2_MIB03_general_group"
"24","T2_MIB04_neighborhood_order"
"25","T2_MIB05_times_treated"
"26","T2_MIB06_times_PreTreated"
"27","T2_MIB07_was_pre_teated"
"28","T2_MIB08_was_treated_dynamic"
"29","T2_MIB09_was_PreTreated_dynamic"
"30","T2_MIB10_distance_towards_treated"
"31","M00_always_monitored"
"32","M01_total_monitoring"
"33","M02_continus_monitoring"
"34","M03_first_monitored"
"35","M04_last_monitored"
"36","M05_monitoring_2005_type"
"37","M06_monitoring_group"
"38","O01_ILO00_iligal_ocupations"
"39","O02_RES01_identificaion_count"
"40","O02_RES02_identificaion_m2"
"41","O02_RES03_identificaion_dummy"
"42","O02_RES04_ingresos_count"
"43","O02_RES05_ingresos_m2"
"44","O02_RES06_ingresos_dummy"
"45","O03_lots01_lots_TOTAL"
"46","O03_lots02_lots_Residential"
"47","O03_lots03_lots_Comercial"
"48","O03_lots04_lots_Empty"
"49","O03_lots05_lots_Facilities"
"50","O03_lots06_lots_Industiral"
"51","O03_lots07_lots_Offices"
"52","O03_lots08_lots_Warehouses"
"53","O03_lots09_lots_Others"
"54","O04_built_area01_area_TOTAL"
"55","O04_built_area02_area_Residential"
"56","O04_built_area03_area_Comercial"
"57","O04_built_area04_area_Empty"
"58","O04_built_area05_area_Facilities"
"59","O04_built_area06_area_Industiral"
"60","O04_built_area07_area_Offices"
"61","O04_built_area08_area_Warehouses"
"62","O04_built_area09_area_Others"
"63","O05_buildings01_buildings_TOTAL"
"64","O05_buildings02_buildings_Residential"
"65","O05_buildings03_buildings_Comercial"
"66","O05_buildings04_buildings_Empty"
"67","O05_buildings05_buildings_Facilities"
"68","O05_buildings06_buildings_Industiral"
"69","O05_buildings07_buildings_Offices"
"70","O05_buildings08_buildings_Warehouses"
"71","O05_buildings09_buildings_Others"
"72","O06_floors00_Avg"
"73","O06_floors01_TOTAL"
"74","C00_DANE_Pop_den2005"
"75","C01_Dis_estrato_1"
"76","C02_Dis_estrato_2"
"77","C03_Dis_estrato_3"
"78","C04_Dis_estrato_4"
"79","C05_Dis_estrato_5"
"80","C06_Dis_estrato_6"
"81","C07_POT1_expansion_Dis"
"82","C08_POT1_rural_Dis"
"83","C09_POT1_urbano_DIS"
"84","C10_POT2_conservacion_Dis"
"85","C11_POT2_consolidacion_Dis"
"86","C12_POT2_desarrollo_Dis"
"87","C13_POT2_mejora_integral_Dis"
"88","C14_POT2_renovacion_Dis"
"89","C15_POT3_amenenza_ma"
"90","C16_POT4_ambietal_prot"
"91","C17_PrePOT1_PIDUZOB1_Dis"
"92","C18_PrePOT2_PIDUZOB2_Dis"
"93","C19_PrePOT3_Desmargin_Dis"
"94","C20_PrePOT3_Surbogota_Dis"
"95","PC1"
"96","PC2"
"97","PC3"
"98","PC4"
"99","PC5"
"100","PC6"
"101","PC7"
"102","PC8"
"103","PC9"
"104","PC10"
"105","TP1_leg_1st_neighborhood"
"106","TP1_leg_2nd_neighborhood"
"107","TP1_leg_3rd_neighborhood"
"108","TP1_leg_4th_neighborhood"
"109","TP2_MIB_1st_neighborhood"
"110","TP2_MIB_2nd_neighborhood"
"111","TP2_MIB_3rd_neighborhood"
"112","TP2_MIB_4th_neighborhood"
